Papel; MargemMedia; MrgEbit ;MrgLiq; LiqCorr; ROIC; ROE; LiquidezGeral; Patrim; DivBrut/Patrim;Cres_Receita.5a
ALLD3;6,87;2,22%;2,07%;1,76;5,96%;7,44%;2.406.300,00;1.499.160.000,00;0,30;-1,25%
AMAR3;3,83;10,75%;-4,04%;0,56;9,71%;-21,07%;251.322,00;289.343.000,00;2,33;-16,32%
AMER3;-6,96;-8,90%;63,18%;1,49;-9,54%;207,93%;13.942.000,00;4.376.000.000,00;0,43;-5,00%
AZZA3;5,15;8,13%;6,88%;1,61;7,13%;9,53%;70.280.100,00;8.339.550.000,00;0,36;45,25%
BHIA3;3,57;7,02%;-6,32%;0,71;8,21%;-115,92%;21.346.600,00;1.539.000.000,00;6,78;-4,14%
CEAB3;3,65;12,60%;6,56%;1,50;16,14%;14,95%;59.558.400,00;3.536.830.000,00;0,35;11,98%
CGRA3;3,98;11,95%;15,78%;2,75;8,59%;12,41%;64.434,90;949.228.000,00;0,00;6,91%
CGRA4;3,97;11,95%;15,78%;2,75;8,59%;12,41%;504.788,00;949.228.000,00;0,00;6,91%
EPAR3;-10,30;-245,94%;169,30%;3,21;-13,36%;12,07%;41.503,70;40.889.000,00;0,00;-73,89%
ESPA3;4,34;14,28%;0,86%;1,48;7,40%;1,10%;593.011,00;871.729.000,00;0,93;10,45%
GUAR3;3,47;9,34%;4,05%;1,48;8,47%;7,45%;10.813.100,00;5.527.430.000,00;0,36;10,05%
LJQQ3;2,06;0,12%;-2,91%;1,65;0,11%;-15,22%;6.601.510,00;489.790.000,00;1,01;7,66%
LREN3;3,11;22,25%;8,86%;1,74;21,99%;13,28%;233.501.000,00;10.300.500.000,00;0,06;12,44%
MGLU3;3,28;4,71%;1,01%;1,29;7,07%;3,48%;232.557.000,00;11.085.100.000,00;0,56;2,03%
PETZ3;3,26;5,70%;-0,47%;1,72;6,38%;-0,96%;13.526.700,00;1.682.180.000,00;0,25;17,34%
SBFG3;5,28;7,85%;5,23%;1,31;8,37%;13,16%;25.174.400,00;2.910.560.000,00;0,90;17,29%
VSTE3;3,85;4,41%;0,05%;1,38;3,35%;0,05%;64.973,80;1.045.960.000,00;0,33;11,20%
WLMM3;6,88;5,45%;3,83%;1,91;12,36%;14,11%;712,07;805.027.000,00;0,56;21,52%
WLMM4;6,02;5,45%;3,83%;1,91;12,36%;14,11%;49.971,70;805.027.000,00;0,56;21,52%
